A length: 82
Fast reject!954out of 3803
Fast reject!955out of 3809
Fast reject!956out of 3810
Fast reject!957out of 3820
Fast reject!958out of 3822
Fast reject!959out of 3826
Fast reject!960out of 3827
Fast reject!961out of 3831
Fast reject!962out of 3838
Fast reject!963out of 3841
Fast reject!964out of 3845
Fast reject!965out of 3849
Fast reject!966out of 3853
Fast reject!967out of 3862
Fast reject!968out of 3864
Fast reject!969out of 3870
Fast reject!970out of 3888
Fast reject!971out of 3891
Fast reject!972out of 3893
Fast reject!973out of 3894
Fast reject!974out of 3895
Fast reject!975out of 3897
Fast reject!976out of 3904
Fast reject!977out of 3911
Fast reject!978out of 3920
Fast reject!979out of 3925
Fast reject!980out of 3937
Fast reject!981out of 3938
Fast reject!982out of 3942
Fast reject!983out of 3944
Fast reject!984out of 3946
Fast reject!985out of 3947
Fast reject!986out of 3952
Fast reject!987out of 3958
Fast reject!988out of 3959
Fast reject!989out of 3967
Fast reject!990out of 3973
Fast reject!991out of 3980
Fast reject!992out of 3989
Fast reject!993out of 3993
Fast reject!994out of 3996
Fast reject!995out of 3999
Fast reject!996out of 4000
Fast reject!997out of 4001
Fast reject!998out of 4006
Fast reject!999out of 4016
Fast reject!1000out of 4017
Fast reject!1001out of 4021
Fast reject!1002out of 4022
Fast reject!1003out of 4026
Fast reject!1004out of 4028
Fast reject!1005out of 4036
Fast reject!1006out of 4039
Fast reject!1007out of 4042
Fast reject!1008out of 4046
Fast reject!1009out of 4047
Fast reject!1010out of 4049
Fast reject!1011out of 4052
Fast reject!1012out of 4058
Fast reject!1013out of 4061
Fast reject!1014out of 4069
Fast reject!1015out of 4070
Fast reject!1016out of 4072
Fast reject!1017out of 4075
Fast reject!1018out of 4077
Fast reject!1019out of 4078
Fast reject!1020out of 4083
Fast reject!1021out of 4085
Fast reject!1022out of 4087
Fast reject!1023out of 4094
Fast reject!1024out of 4096
Fast reject!1025out of 4098
Fast reject!1026out of 4102
Fast reject!1027out of 4104
Fast reject!1028out of 4109
Fast reject!1029out of 4115
Fast reject!1030out of 4118
Fast reject!1031out of 4119
Fast reject!1032out of 4120
Fast reject!1033out of 4134
